Squad,Year,Rank,# Pl.x,MP,Starts,Min,90s.x,GA.x,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA.x,PKsv,PKm,# Pl.y,90s.y,GA.y,PKA.y,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att.x,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att.y,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,opp_90,tkl_90,int_90,tkl_int_90,def_3rd_90,att_3rd_90,save_performance,prop_tkl_w
Bayern Munich,20/21,QF,2,10,10,900,10,10,1,48,38,79.2,8,1,1,3,30,0,0,0,0,2,10,10,0,0,1,0,15.2,0.32999999999999996,5.2,0.52,32,68,47.1,341,68,17.3,27.5,111,3,2.7,28,2.8,21.1,26,10,157,77,68,64,25,161,38.5,99,112,21,91,126,283,147,3,11.1,15.7,12.6,28.3,6.8,2.5,Overperformed,0.49044585987261147
Liverpool,20/21,QF,3,10,10,900,10,6,0.6,38,32,86.8,6,2,2,7,70,1,1,0,0,3,10,6,1,0,0,0,12.2,0.3,6.2,0.62,49,120,40.8,307,50,30,37.9,120,6,5,15,1.5,13,29,10,135,84,68,54,13,141,39,86,110,20,90,117,252,171,7,12,13.5,11.7,25.2,6.8,1.3,Overperformed,0.6222222222222222
Porto,20/21,QF,2,10,10,930,10.3,9,0.8700000000000001,39,30,79.5,6,1,3,6,60,2,1,0,1,2,10.3,9,1,1,1,0,13,0.31,4,0.39,69,247,27.9,366,44,57.9,40.5,191,5,2.6,8,0.77,5,26,10.3,165,96,98,53,14,183,41.5,107,116,36,80,91,256,250,2,18.54368932038835,16.019417475728154,8.834951456310678,24.854368932038835,9.514563106796116,1.3592233009708736,Overperformed,0.5818181818181818
Dortmund,20/21,QF,2,10,10,900,10,13,1.3,40,28,75,5,2,3,3,30,3,3,0,0,2,10,13,3,0,2,1,14.9,0.3,2.9,0.29000000000000004,27,96,28.1,250,39,30.4,32.5,150,7,4.7,3,0.3,9.3,26,10,155,89,77,57,21,152,38.8,93,116,34,82,106,261,180,2,15,15.5,10.6,26.1,7.7,2.1,Overperformed,0.5741935483870968
Juventus,20/21,R16,2,8,8,750,8.3,8,0.96,35,27,82.9,6,0,2,3,37.5,2,2,0,0,2,8.3,8,2,1,0,0,10.4,0.25,2.4,0.29000000000000004,10,21,47.6,146,31,9.6,22.2,67,3,4.5,10,1.2,17.2,22,8.3,135,86,62,57,16,148,41.2,87,70,18,52,122,257,102,4,8.072289156626505,16.265060240963855,14.69879518072289,30.963855421686745,7.469879518072289,1.9277108433734937,Overperformed,0.6370370370370371
Barcelona,20/21,R16,2,8,8,720,8,10,1.25,29,19,79.3,5,1,2,3,37.5,4,4,0,0,2,8,10,4,0,0,0,12.8,0.32,2.8,0.35,15,32,46.9,168,29,12.5,23.3,67,0,0,9,1.1300000000000001,20.7,27,8,109,60,38,46,25,131,36.6,83,72,16,56,88,197,64,3,8.375,13.625,11,24.625,4.75,3.125,Overperformed,0.5504587155963303
Sevilla,20/21,R16,3,8,8,720,8,13,1.62,34,21,73.5,4,2,2,2,25,4,4,0,0,3,8,13,4,1,0,0,12.1,0.24000000000000002,-0.9,-0.11,28,64,43.8,183,26,24,25.5,80,3,3.8,9,1.1300000000000001,14,25,8,106,61,38,47,21,123,37.4,77,78,23,55,79,185,94,2,10,13.25,9.875,23.125,4.75,2.625,Underperformed,0.5754716981132075
RB Leipzig,20/21,R16,1,8,8,720,8,16,2,37,21,64.9,4,0,4,1,12.5,4,3,1,0,1,8,16,3,1,1,1,16.7,0.35,1.7,0.22,26,75,34.7,261,43,25.7,30.4,81,5,6.2,14,1.75,18.6,20,8,165,99,71,78,16,173,44.5,96,91,15,76,108,273,112,7,10.125,20.625,13.5,34.125,8.875,2,Overperformed,0.6
Atalanta,20/21,R16,2,8,8,720,8,12,1.5,38,26,73.7,3,2,3,3,37.5,2,2,0,0,2,8,12,2,0,1,0,10.9,0.24000000000000002,-1.1,-0.14,51,95,53.7,150,31,39.3,28.3,81,5,6.2,8,1,16.8,25,8,139,76,64,56,19,151,35.8,97,98,29,69,140,279,144,3,10.125,17.375,17.5,34.875,8,2.375,Underperformed,0.5467625899280576
Lazio,20/21,R16,2,8,8,720,8,13,1.62,35,23,68.6,2,4,2,0,0,2,2,0,0,2,8,13,2,0,0,1,9.9,0.23,-2.1,-0.26,28,64,43.8,256,48,22.3,35,104,2,1.9,4,0.5,NA,25,8,132,66,73,49,10,159,40.3,95,81,20,61,109,241,161,6,13,16.5,13.625,30.125,9.125,1.25,Underperformed,0.5
Atlético Madrid,20/21,R16,1,8,8,720,8,11,1.37,24,14,62.5,2,3,3,2,25,2,2,0,0,1,8,11,2,0,0,1,9.7,0.32,-0.3,-0.04,41,119,34.5,147,30,55.8,38.8,93,3,3.2,4,0.5,14.3,20,8,123,73,53,51,19,149,47,79,88,26,62,94,217,168,1,11.625,15.375,11.75,27.125,6.625,2.375,Underperformed,0.5934959349593496
M'Gladbach,20/21,R16,1,8,8,720,8,13,1.62,35,22,62.9,2,2,4,2,25,0,0,0,0,1,8,13,0,0,1,0,14.1,0.42000000000000004,1.1,0.14,33,86,38.4,292,29,27.1,29.2,107,6,5.6,4,0.5,12.6,21,8,142,73,81,47,14,164,42.1,95,119,34,85,90,232,144,2,13.375,17.75,11.25,29,10.125,1.75,Overperformed,0.5140845070422535
Manchester Utd,20/21,GR,2,6,6,540,6,10,1.6700000000000002,24,15,58.3,3,0,3,1,16.7,0,0,0,0,2,6,10,0,1,1,1,7.8,0.33999999999999997,-1.2,-0.19,24,51,47.1,95,21,35.8,32.4,70,2,2.9,4,0.6699999999999999,14.5,23,6,91,49,31,47,13,95,48.4,49,66,12,54,60,151,94,1,11.666666666666666,15.166666666666666,10,25.166666666666668,5.166666666666667,2.1666666666666665,Underperformed,0.5384615384615384
Club Brugge,20/21,GR,2,6,6,540,6,10,1.6700000000000002,28,19,67.9,2,2,2,1,16.7,1,1,0,0,2,6,10,1,1,1,1,8.4,0.29000000000000004,-0.6,-0.1,55,120,45.8,223,28,44.8,45.8,60,3,5,13,2.17,10,22,6,81,51,38,33,10,75,46.7,40,58,19,39,76,157,85,2,10,13.5,12.666666666666666,26.166666666666668,6.333333333333333,1.6666666666666667,Underperformed,0.6296296296296297
