Squad,Year,Rank,# Pl.x,90s.x,SCA,SCA90,PassLive,PassDead,TO,Sh.x,Fld,Def,GCA,GCA90,# Pl.y,90s.y,Gls,Sh.y,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,prop_SCA_dead,performance
Rennes,20/21,GR,26,6,133,22.17,100,8,8,8,8,1,5,0.8300000000000001,26,6,3,71,25,35.2,11.83,4.17,0.01,0.04,18.3,3,2,2,7.6,6,0.09,-4.6,-5,0.06015037593984962,Underperformed
Zenit,20/21,GR,21,6,104,17.330000000000002,84,9,5,4,2,0,6,1,21,6,3,59,14,23.7,9.83,2.3299999999999996,0.05,0.21000000000000002,19.8,1,0,0,5.6,5.6,0.09,-2.6,-2.6,0.08653846153846154,Underperformed
Ferencváros,20/21,GR,20,6,95,15.83,67,7,4,10,5,2,6,1,20,6,5,61,14,23,10.17,2.3299999999999996,0.07,0.29000000000000004,20.5,1,1,1,5.6,4.8,0.08,-0.6,-0.8,0.07368421052631578,Underperformed
Bayern Munich,19/20,W,20,11,411,37.36,317,23,20,26,14,11,73,6.64,20,11,43,239,97,40.6,21.73,8.82,0.17,0.42000000000000004,17.2,7,2,2,35.5,34,0.15000000000000002,7.5,7,0.05596107055961071,Overperformed
Paris S-G,19/20,F,24,11,239,21.73,183,15,13,9,15,4,47,4.2700000000000005,24,11,25,133,59,44.4,12.09,5.359999999999999,0.18,0.41000000000000003,16.2,8,1,1,26.2,25.4,0.19,-1.2,-1.4,0.06276150627615062,Underperformed
RB Leipzig,19/20,SF,25,10,282,28.2,224,14,13,16,12,3,30,3,25,10,16,154,46,29.9,15.4,4.6,0.08,0.26,18.4,3,4,4,18,14.8,0.1,-2,-2.8,0.04964539007092199,Underperformed
Lyon,19/20,SF,24,10,207,20.7,146,13,24,9,10,5,25,2.5,24,10,14,119,39,32.8,11.9,3.9,0.1,0.31,19.9,2,2,2,12.7,11.1,0.09,1.3,0.9,0.06280193236714976,Overperformed
Manchester City,19/20,QF,23,9,268,29.779999999999998,203,13,25,12,10,5,37,4.109999999999999,23,9,21,143,58,40.6,15.89,6.44,0.13,0.32999999999999996,16.5,7,2,3,25.1,22.7,0.16,-4.1,-3.7,0.048507462686567165,Underperformed
Barcelona,19/20,QF,24,9,188,20.89,144,8,13,8,13,2,22,2.44,24,9,13,103,42,40.8,11.44,4.67,0.12000000000000001,0.29000000000000004,17.8,8,1,1,14.4,13.6,0.13,-1.4,-1.6,0.0425531914893617,Underperformed
Atlético Madrid,19/20,QF,21,9.3,222,23.79,158,26,11,11,10,6,23,2.46,21,9.3,13,119,43,36.1,12.75,4.609999999999999,0.09,0.26,19.3,2,2,3,15.3,12.9,0.11,-2.3,-1.9,0.11711711711711711,Underperformed
Atalanta,19/20,QF,23,9,216,24,144,21,18,15,15,3,28,3.11,23,9,17,113,40,35.4,12.56,4.44,0.12000000000000001,0.32999999999999996,16.8,6,4,5,17.7,13.7,0.13,-0.7,-0.7,0.09722222222222222,Underperformed
Juventus,19/20,R16,23,8,197,24.62,142,12,19,7,15,2,21,2.62,23,8,14,108,36,33.3,13.5,4.5,0.12000000000000001,0.36,18.9,13,1,1,12,11.3,0.11,2,1.7,0.06091370558375635,Overperformed
Napoli,19/20,R16,24,8,197,24.62,143,19,7,15,9,4,20,2.5,24,8,13,108,24,22.2,13.5,3,0.08,0.38,18,1,4,4,14.9,11.8,0.11,-1.9,-2.8,0.09644670050761421,Underperformed
Liverpool,19/20,R16,20,8.3,255,30.6,191,16,23,18,4,3,27,3.24,20,8.3,15,146,46,31.5,17.52,5.52,0.1,0.32999999999999996,17.5,3,0,0,16.2,16.2,0.11,-1.2,-1.2,0.06274509803921569,Underperformed
Dortmund,19/20,R16,24,8,168,21,137,6,7,9,6,3,18,2.25,24,8,10,95,32,33.7,11.870000000000001,4,0.11,0.31,16.9,2,0,1,14.4,13.6,0.15000000000000002,-4.4,-3.6,0.03571428571428571,Underperformed
