Squad,Year,Rank,# Pl.x,Poss,90s.x,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att.x,Succ,Succ%,Tkld,Tkld%,Carries,TotDist.x,PrgDist.x,PrgC,1/3.x,CPA,Mis,Dis,Rec,PrgR,# Pl.y,90s.y,Cmp,Att.y,Cmp%,TotDist.y,PrgDist.y,Ast,xAG,xA,A-xAG,KP,1/3.y,PPA,CrsPA,PrgP,takeons_per_match,prop_def_third,prop_mid_third,prop_att_third,kp_90,crosses_90,PrgP_90,PrgC_90,takeons_attempted_90,def_third_touches_90,mid_third_touches_90,att_third_touches_90
RB Salzburg,19/20,GR,21,44.8,6,3536,358,1055,1660,859,157,3534,103,47,45.6,56,54.4,1601,8305,4626,102,65,36,109,53,2045,258,21,6,2061,2763,74.6,32897,14263,13,10.4,8.7,2.6,75,176,67,7,260,17.166666666666668,0.2983597285067873,0.46945701357466063,0.24292986425339366,12.5,1.1666666666666667,43.333333333333336,17,17.166666666666668,175.83333333333334,276.6666666666667,143.16666666666666
Inter,19/20,GR,20,41.5,6,3452,456,1377,1521,589,102,3451,93,60,64.5,33,35.5,1786,10323,5414,94,55,27,62,45,2186,168,20,6,2204,2803,78.6,39968,13876,9,8,5.8,1,54,117,35,7,173,15.5,0.3988991888760139,0.4406141367323291,0.17062572421784472,9,1.1666666666666667,28.833333333333332,15.666666666666666,15.5,229.5,253.5,98.16666666666667
Benfica,19/20,GR,23,48.5,6,3876,387,1241,1678,991,100,3875,89,47,52.8,42,47.2,2215,11741,6480,106,96,17,104,56,2535,266,23,6,2545,3168,80.3,42740,15761,5,6.3,5.5,-1.3,60,194,44,5,266,14.833333333333334,0.3201754385964912,0.4329205366357069,0.25567595459236325,10,0.8333333333333334,44.333333333333336,17.666666666666668,14.833333333333334,206.83333333333334,279.6666666666667,165.16666666666666
Zenit,19/20,GR,19,39.5,6,3316,435,1238,1393,725,94,3316,100,54,54,46,46,1752,9216,4856,81,65,17,70,41,1871,173,19,6,1882,2543,74,35853,15578,5,5.5,5.3,-0.5,45,148,44,13,175,16.666666666666668,0.3733413751507841,0.4200844390832328,0.21863691194209892,7.5,2.1666666666666665,29.166666666666668,13.5,16.666666666666668,206.33333333333334,232.16666666666666,120.83333333333333
Leverkusen,19/20,GR,20,58.8,6,4727,373,1378,2307,1087,124,4727,114,72,63.2,42,36.8,2901,14663,7212,140,105,22,110,62,3351,262,20,6,3372,4060,83.1,56729,17312,2,6,5.1,-4,62,218,53,14,266,19,0.2915168182779776,0.48804738734927017,0.22995557436005923,10.333333333333334,2.3333333333333335,44.333333333333336,23.333333333333332,19,229.66666666666666,384.5,181.16666666666666
Shakhtar,19/20,GR,18,49.8,6,3831,397,1253,1850,763,117,3830,116,73,62.9,43,37.1,2763,15339,8007,139,96,30,87,48,2684,178,18,6,2704,3198,84.6,45044,14877,6,6.5,5.7,-0.5,48,156,44,3,179,19.333333333333332,0.3270686504829026,0.48290263638736625,0.1991647089532759,8,0.5,29.833333333333332,23.166666666666668,19.333333333333332,208.83333333333334,308.3333333333333,127.16666666666667
Dinamo Zagreb,19/20,GR,21,35.2,6,2849,369,931,1330,624,100,2848,144,65,45.1,79,54.9,1516,9267,4606,92,91,20,99,50,1486,133,21,6,1503,2108,71.3,24974,10165,9,6.1,4,2.9,38,74,32,8,135,24,0.32678132678132676,0.4668304668304668,0.21902421902421904,6.333333333333333,1.3333333333333333,22.5,15.333333333333334,24,155.16666666666666,221.66666666666666,104
Olympiacos,19/20,GR,17,45,6,3263,428,1196,1498,599,101,3261,126,82,65.1,44,34.9,1736,9107,4657,94,56,23,78,60,2036,186,17,6,2051,2627,78.1,37706,13570,5,5,4.9,0,58,123,39,15,188,21,0.3665338645418327,0.45908673000306466,0.18357339871284095,9.666666666666666,2.5,31.333333333333332,15.666666666666666,21,199.33333333333334,249.66666666666666,99.83333333333333
Loko Moscow,19/20,GR,20,32.3,6,2875,441,1083,1296,530,61,2875,86,51,59.3,35,40.7,1420,7455,3620,63,58,12,103,69,1508,139,20,6,1517,2085,72.8,27504,12024,2,3.2,2.5,-1.2,38,105,18,5,140,14.333333333333334,0.37669565217391304,0.4507826086956522,0.18434782608695652,6.333333333333333,0.8333333333333334,23.333333333333332,10.5,14.333333333333334,180.5,216,88.33333333333333
Club Brugge,19/20,GR,22,41.5,6,3238,354,1077,1315,888,114,3237,99,56,56.6,43,43.4,1957,10172,5187,96,68,25,93,65,1931,277,22,6,1948,2581,75.5,37414,14839,3,4.6,4.9,-1.6,47,173,48,5,280,16.5,0.3326127239036442,0.4061148857319333,0.27424336009882644,7.833333333333333,0.8333333333333334,46.666666666666664,16,16.5,179.5,219.16666666666666,148
Red Star,19/20,GR,19,36.5,6,2906,451,1087,1397,454,78,2905,98,46,46.9,52,53.1,1495,8559,4557,82,57,15,101,45,1631,168,19,6,1641,2193,74.8,28578,11684,2,2.2,2.1,-0.2,38,96,25,9,168,16.333333333333332,0.3740536820371645,0.4807295251204405,0.15622849277357193,6.333333333333333,1.5,28,13.666666666666666,16.333333333333332,181.16666666666666,232.83333333333334,75.66666666666667
Slavia Prague,19/20,GR,20,48.7,6,3808,380,1188,1550,1112,134,3807,98,45,45.9,53,54.1,2141,11432,5369,104,97,27,110,56,2417,270,20,6,2436,3102,78.5,43795,16145,3,6.5,5.6,-3.5,59,188,49,13,272,16.333333333333332,0.3119747899159664,0.4070378151260504,0.2920168067226891,9.833333333333334,2.1666666666666665,45.333333333333336,17.333333333333332,16.333333333333332,198,258.3333333333333,185.33333333333334
Galatasaray,19/20,GR,20,46.7,6,3593,439,1291,1612,722,61,3593,91,59,64.8,32,35.2,1881,9518,4564,94,75,15,101,58,2291,170,20,6,2309,2971,77.7,39715,15557,1,3.4,3.3,-2.4,38,141,24,10,170,15.166666666666666,0.35930976899526856,0.44865015307542444,0.2009462844419705,6.333333333333333,1.6666666666666667,28.333333333333332,15.666666666666666,15.166666666666666,215.16666666666666,268.6666666666667,120.33333333333333
Lille,19/20,GR,21,42.7,6,3355,355,1063,1559,786,126,3355,145,81,55.9,63,43.4,1718,9804,5318,116,94,31,103,60,1962,208,21,6,1971,2626,75.1,33687,12657,4,8,5.2,-4,70,143,39,9,211,24.166666666666668,0.31684053651266764,0.4646795827123696,0.23427719821162443,11.666666666666666,1.5,35.166666666666664,19.333333333333332,24.166666666666668,177.16666666666666,259.8333333333333,131
Genk,19/20,GR,20,40.3,6,3250,457,1177,1335,765,87,3250,132,70,53,62,47,1569,9250,4644,95,77,21,107,51,1819,202,20,6,1836,2488,73.8,35523,13832,4,5.4,4.2,-1.4,52,126,38,15,202,22,0.36215384615384616,0.4107692307692308,0.2353846153846154,8.666666666666666,2.5,33.666666666666664,15.833333333333334,22,196.16666666666666,222.5,127.5
Liverpool,18/19,W,20,51.6,13,8541,722,2211,4203,2210,375,8536,182,118,64.8,64,35.2,5038,25344,13710,269,214,66,196,151,5583,625,20,13,5613,7191,78.1,100781,34931,17,19.8,17.4,-2.8,140,414,161,27,631,14,0.25886898489638216,0.49209694415173866,0.258751902587519,10.76923076923077,2.076923076923077,48.53846153846154,20.692307692307693,14,170.07692307692307,323.3076923076923,170
Tottenham,18/19,F,24,52.5,13,8508,819,2443,4165,1983,316,8508,252,148,58.7,104,41.3,5220,26422,13095,275,194,82,214,153,5693,557,24,13,5730,7075,81,102185,36574,17,16.9,14.8,0.1,151,406,111,21,564,19.384615384615383,0.2871415138692995,0.48953925716972263,0.23307475317348378,11.615384615384615,1.6153846153846154,43.38461538461539,21.153846153846153,19.384615384615383,187.92307692307693,320.38461538461536,152.53846153846155
Barcelona,18/19,SF,23,61.4,12,9738,777,2460,5027,2321,309,9737,212,129,60.8,83,39.2,5498,27244,14770,260,241,79,131,110,7398,558,23,12,7437,8522,87.3,117990,37319,18,17.9,18,0.1,149,462,122,3,561,17.666666666666668,0.2526186075169439,0.5162250975559664,0.238344629287328,12.416666666666666,0.25,46.75,21.666666666666668,17.666666666666668,205,418.9166666666667,193.41666666666666
Ajax,18/19,SF,22,52.9,12,7949,678,2244,3815,1967,307,7947,229,128,55.9,101,44.1,4666,23610,12171,236,175,59,205,124,5100,501,22,12,5137,6458,79.5,80365,28967,17,17.6,14.8,-0.6,139,358,112,9,504,19.083333333333332,0.2822996603346333,0.4799345829664109,0.24745250974965405,11.583333333333334,0.75,42,19.666666666666668,19.083333333333332,187,317.9166666666667,163.91666666666666
Manchester City,18/19,QF,21,63,10,7814,497,1493,4363,2026,315,7810,191,117,61.3,73,38.2,5677,29227,16288,312,240,88,115,120,5939,576,21,10,5976,6793,88,97477,29647,20,16.8,16.8,3.2,141,416,128,15,582,19.1,0.1910673150755055,0.558356795495265,0.25927821858203226,14.1,1.5,58.2,31.2,19.1,149.3,436.3,202.6
Porto,18/19,QF,25,53,10.3,6153,582,1893,2919,1410,230,6148,201,108,53.7,93,46.3,3349,19332,9595,191,166,50,149,123,3738,372,25,10.3,3769,4932,76.4,70712,25766,15,11.1,10.5,3.9,91,266,64,17,379,19.514563106796114,0.3076548025353486,0.47440273037542663,0.22915650901999024,8.834951456310678,1.6504854368932038,36.79611650485437,18.54368932038835,19.514563106796114,183.78640776699027,283.3980582524272,136.89320388349515
